dataset,model,method,detector,is_viyog,T3
CIFAR-10,resnet50,MaxLogit,MaxLogit,False,0.8787
CIFAR-10,resnet50,Energy,Energy,False,0.877
CIFAR-10,resnet50,Entropy,Entropy,False,0.8829
CIFAR-10,resnet50,GEN,GEN,False,0.886
CIFAR-10,resnet50,KLMatching,KL-Matching,False,0.8841
CIFAR-10,densenet121,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.716
CIFAR-10,densenet121,ViyogD_tv_dorm,Viyog-D (TV),True,0.7889
CIFAR-10,densenet121,ViyogD_hf_dorm,Viyog-HF,True,0.6718
CIFAR-10,densenet121,MSP,MSP,False,0.8533
CIFAR-10,densenet121,MaxLogit,MaxLogit,False,0.8675
CIFAR-10,densenet121,Energy,Energy,False,0.8711
CIFAR-10,densenet121,Entropy,Entropy,False,0.8572
CIFAR-10,densenet121,GEN,GEN,False,0.8609
CIFAR-10,densenet121,KLMatching,KL-Matching,False,0.8564
CIFAR-10,convnextv2_base,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6476
CIFAR-10,convnextv2_base,ViyogD_tv_dorm,Viyog-D (TV),True,0.725
CIFAR-10,convnextv2_base,ViyogD_hf_dorm,Viyog-HF,True,0.6067
CIFAR-10,convnextv2_base,MSP,MSP,False,0.7145
CIFAR-10,convnextv2_base,MaxLogit,MaxLogit,False,0.7472
CIFAR-10,convnextv2_base,Energy,Energy,False,0.7505
CIFAR-10,convnextv2_base,Entropy,Entropy,False,0.7155
CIFAR-10,convnextv2_base,GEN,GEN,False,0.7171
CIFAR-10,convnextv2_base,KLMatching,KL-Matching,False,0.7133
CIFAR-10,swin_tiny,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5892
CIFAR-10,swin_tiny,ViyogD_tv_dorm,Viyog-D (TV),True,0.814
CIFAR-10,swin_tiny,ViyogD_hf_dorm,Viyog-HF,True,0.6695
CIFAR-10,swin_tiny,MSP,MSP,False,0.757
CIFAR-10,swin_tiny,MaxLogit,MaxLogit,False,0.7451
CIFAR-10,swin_tiny,Energy,Energy,False,0.7425
CIFAR-10,swin_tiny,Entropy,Entropy,False,0.7587
CIFAR-10,swin_tiny,GEN,GEN,False,0.7584
CIFAR-10,swin_tiny,KLMatching,KL-Matching,False,0.758
GTSRB,resnet50,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5842
GTSRB,resnet50,ViyogD_tv_dorm,Viyog-D (TV),True,0.9502
