model,signature,kind,T3,detector,is_viyog,dataset
resnet101,Viyog_D*(tv|p5|adapt),Near,0.706,Viyog-D (TV),True,CIFAR-100
resnet101,G_tv_mean,Near,0.559,TV (mean),False,CIFAR-100
resnet101,G_hf_mean,Near,0.669,Viyog-HF,True,CIFAR-100
resnet101,A_inf_norm,Near,0.557,raw L∞,False,CIFAR-100
resnet152,Viyog_D*(tv|p5|adapt),Near,0.813,Viyog-D (TV),True,CIFAR-100
resnet152,G_tv_mean,Near,0.626,TV (mean),False,CIFAR-100
resnet152,G_hf_mean,Near,0.707,Viyog-HF,True,CIFAR-100
resnet152,A_inf_norm,Near,0.534,raw L∞,False,CIFAR-100
resnet50,Viyog_D*(tv|p5|adapt),Near,0.804,Viyog-D (TV),True,CIFAR-100
resnet50,G_tv_mean,Near,0.511,TV (mean),False,CIFAR-100
resnet50,G_hf_mean,Near,0.613,Viyog-HF,True,CIFAR-100
resnet50,A_inf_norm,Near,0.561,raw L∞,False,CIFAR-100
swin_tiny,Viyog_D*(tv|p5|adapt),Near,0.857,Viyog-D (TV),True,CIFAR-100
swin_tiny,G_tv_mean,Near,0.508,TV (mean),False,CIFAR-100
swin_tiny,G_hf_mean,Near,0.683,Viyog-HF,True,CIFAR-100
swin_tiny,A_inf_norm,Near,0.697,raw L∞,False,CIFAR-100
vit_base,Viyog_D*(tv|p5|adapt),Near,0.608,Viyog-D (TV),True,CIFAR-100
vit_base,G_tv_mean,Near,0.695,TV (mean),False,CIFAR-100
vit_base,G_hf_mean,Near,0.693,Viyog-HF,True,CIFAR-100
vit_base,A_inf_norm,Near,0.705,raw L∞,False,CIFAR-100
convnextv2_base,Viyog_D*(tv|p5|adapt),Texture,0.668,Viyog-D (TV),True,CIFAR-100
convnextv2_base,G_tv_mean,Texture,0.869,TV (mean),False,CIFAR-100
convnextv2_base,G_hf_mean,Texture,0.956,Viyog-HF,True,CIFAR-100
convnextv2_base,A_inf_norm,Texture,0.606,raw L∞,False,CIFAR-100
densenet121,Viyog_D*(tv|p5|adapt),Texture,0.795,Viyog-D (TV),True,CIFAR-100
densenet121,G_tv_mean,Texture,0.877,TV (mean),False,CIFAR-100
densenet121,G_hf_mean,Texture,0.954,Viyog-HF,True,CIFAR-100
densenet121,A_inf_norm,Texture,0.72,raw L∞,False,CIFAR-100
